PK_Endereco;nm_logradouro;nu_logradouro;nm_bairro;nm_municipio;sg_uf;vl_latitude;vl_longitude
317;RUA DEZOITO DE DEZEMBRO;137;32341470;NOVO ELDORADO;CONTAGEM;-19,9298665;-44,0586907
319;AVENIDA PADRE ANTONIO;1025;89874000;CENTRO;MARAVILHA;-26,7713085;-53,1838481
322;RUA VISCONDE DE INHAUMA;58;20091007;CENTRO;RIO DE JANEIRO;-22,8994562;-43,1782756
324;RUA ANTONIA FALCHI;62;09361070;VILA FALCHI;MAUA;-23,6792912;-46,4425905
327;RUA TENENTE SEBASTIAO GAIA;418;13091478;PARQUE BRASILIA;CAMPINAS;-22,878205;-47,0272431
330;SETOR MERCADO MUNICIPAL;SN;12425190;CENTRO;PINDAMONHANGABA;-22,9251224;-45,4616987
333;RUA TIRADENTES;287;79302050;CENTRO;CORUMBA;-18,9982654;-57,6483072
337;AVENIDA BRASIL;182;87200121;ZONA 1;CIANORTE;-23,6608253;-52,6108889
339;AVENIDA MIRASSOL;58;13043710;PONTE PRETA;CAMPINAS;-22,9285323;-47,0445914
342;RUA JORGE LACERDA;208;89278000;CENTRO;CORUPA;-26,4295696;-49,2387509
345;RUA BERNARDINO DE CAMPOS;3017;15015300;CENTRO;SAO JOSE DO RIO PRETO;-20,8115008;-49,3808173
347;RUA VINTE HUM DE ABRIL;50;13301331;ALTO;ITU;-23,2639728;-47,2997085
350;AVENIDA ESTRELA;;88780000;VILA NOVA;IMBITUBA;-28,2662021;-48,6883135
352;RUA VOLUNTARIOS DA PATRIA;448;22270010;BOTAFOGO;RIO DE JANEIRO;-22,955686;-43,196622
355;PRACA GETULIO VARGAS;347;64700000;CENTRO;SIMPLICIO MENDES;-7,8533526;-41,9079085
358;RUA TEOTONIO SANTOS;150;65708000;CAMPPO;SAO LUIS GONZAGA DO MARANHAO;-4,3808808;-44,6704821
362;DISTRITO GUAIRACA SEDE;SN;85113000;GUAIRACA;GUARAPUAVA;-25,3907214;-51,4628097
365;RUA COMERCIANTE ALFREDO FERREIRA DA ROCHA;485;58055540;MANGABEIRA;JOAO PESSOA;-7,1663826;-34,8420859
368;AVENIDA EDUARDO FROES DA MOTA;2500;44090156;TOMBA;FEIRA DE SANTANA;-12,2472252;-38,9345298
371;RUA BENITO M DE OLIVEIRA;177;79070229;COOPHASUL;CAMPO GRANDE;-20,4185992;-54,635248
375;AVENIDA GOVERNADOR PEDRO TOLEDO;134;16204296;CENTRO;BIRIGUI;-21,2876321;-50,3409355
377;RUA CAMPOS SALES;810;15820970;CENTRO;PIRANGI;-21,0912189;-48,6555643
380;RUA JAVAES;170;01130010;BOM RETIRO;SAO PAULO;-23,5215666;-46,6442606
383;RUA DIRETA DA PALESTINA;502;41308000;PALESTINA;SALVADOR;-12,8670792;-38,4240737
385;ESTRADA DO TINGUI;229;23075000;CAMPO GRANDE;RIO DE JANEIRO;-22,8840393;-43,5657097
388;AVENIDA ANTONIO CARLOS COSTA;318;06053000;BELA VISTA;OSASCO;-23,5457122;-46,7829197
390;ESTRADA DA QUINTA DIVISAO;84;09401010;B OURO F PAULISTA;RIBEIRAO PIRES;-23,6837783;-46,3436469
392;AVENIDA ALVORADA;3000;21853480;BARRA DA TIJUCA;RIO DE JANEIRO;-23,0013325;-43,3660535
395;RUA THALES SANTOS FREIRE;923;09772040;BAETA NEVES;SAO BERNARDO DO CAMPO;-23,6849417;-46,5451838
397;RUA DEZESSETE;71;31985180;DOM SILVERIO;BELO HORIZONTE;-19,8262571;-43,9286062
399;RUA DONA PRIMITIVA VIANCO;1045;06010000;CENTRO;OSASCO;-23,5376238;-46,7759351
401;RUA JOSE FRANCISCO LAURINDO;1966;88370573;SAO DOMINGOS;NAVEGANTES;-26,8786524;-48,6802543
403;RUA PRUDENTE DE MORAIS;764;14015100;CENTRO;RIBEIRAO PRETO;-21,1810742;-47,8094094
406;RUA SAO CAETANO;241;01104001;LUZ;SAO PAULO;-23,5347626;-46,6306938
408;PRACA BENEDITO VALADARES;33;36950000;CENTRO;IPANEMA;-19,7995283;-41,7168497
410;AVENIDA TUIUTI;1319;87040360;VILA MORANGUEIRA;MARINGA;-23,4166974;-51,905433
412;RUA DOUTOR PAULA E SILVA;625;86420000;CENTRO;CARLOPOLIS;-23,4268591;-49,719978
414;RUA NEUZA BORGES CUNHA;10;37950000;CONJ H MONS MANCINI;SAO SEBASTIAO DO PARAISO;-20,9109406;-46,9870801
416;ESTRADA CHACARA AGUA SECA;SN;13405190;SERTAOZINHO;PIRACICABA;-22,7419009;-47,5813184
419;RUA AMERICANO DO BRASIL;257;75707360;SAO FRANCISCO;CATALAO;-18,1691651;-47,9418072
422;RUA DOMENICO SONEGO;541;88804050;SANTA BARBARA;CRICIUMA;-28,6873796;-49,3813193
426;AVENIDA SAO PAULO;SN;69375000;CENTRO;SAO JOAO DA BALIZA;0,9494778;-59,9114715
429;RUA SANTA CATARINA;3521;15505171;PATRIMONIO VELHO;VOTUPORANGA;-20,4218154;-49,9732971
431;RUA RIO GRANDE DO SUL;SN;84940000;VILA BARBOSA;SIQUEIRA CAMPOS;-23,6872493;-49,8260538
433;AVENIDA JOAO PESSOA;540;95680000;CENTRO;CANELA;-29,3570065;-50,8075114
436;RUA EDUARDO COTRIM;517;27511010;LAVA PES;RESENDE;-22,4726187;-44,4429557
438;RUA DOUTOR PEREIRA NETO;600;91920530;TRISTEZA;PORTO ALEGRE;-30,1104692;-51,2466352
441;RUA VITALINO BATISTA DE ANDRADE;76;93214590;CENTRO;SAPUCAIA DO SUL;-29,8229742;-51,1570713
443;RUA SAO MANOEL;2104;90620110;RIO BRANCO;PORTO ALEGRE;-30,0517754;-51,1994281
446;AVENIDA JUSCELINO KUBITSCHEK;3040;85853000;SEDE;FOZ DO IGUACU;-25,5170351;-54,5846339
448;LOCALIDADE EST GUARUJA BERTNIOGA;SN;11410000;PRAIA DO PEREQUE;GUARUJA;-23,9949104;-46,2568758
450;RUA SAO JORGE;40;07114350;JARDIM SAO JORGE;GUARULHOS;-23,532825;-46,5644398
452;RUA MARIA DAFFRE;338;03150020;QUINTA DA PAINEIRA;SAO PAULO;-23,5848899;-46,5882784
454;RUA UBERABA;86;38500000;LANGONI;MONTE CARMELO;-18,7342524;-47,5038039
457;BR 40;;30670565;TREVO;BELO HORIZONTE;-19,9636049;-43,9987026
459;AVENIDA DONA MARIA ELISA;500;13405190;VILA REZENDE;PIRACICABA;-22,7157471;-47,6556207
462;RUA PAULO DE AVELAR;1175;02243010;VILA DOM PEDRO II;SAO PAULO;-23,4915703;-46,5992602
464;RUA DOS ANDRADAS;241;01208000;SANTA EFIGENIA;SAO PAULO;-23,5381139;-46,6382136
466;RUA DOUTOR FERNANDO ARENS;450;13160970;VILA QUEIROZ;ARTUR NOGUEIRA;-22,5759847;-47,1691736
469;RUA SILVA JARDIM;1;16010340;CENTRO;ARACATUBA;-21,2076121;-50,4369317
471;ESTRADA MUNICIPAL PACAEMBU MIRANDOPOL;SN;17860000;;PACAEMBU;-21,5587453;-51,2621469
475;RUA ANDRADE FERNANDES;97;05449050;VILA MADALENA;SAO PAULO;-23,544729;-46,7060488
477;AVENIDA GENERAL NETTO;554;99010022;CENTRO;PASSO FUNDO;-28,2612222;-52,4081942
480;RUA PRINCIPAL;SN;36820000;BOM JESUS;DIVINO;-20,6155413;-42,1479013
483;RUA ANTONIO BEZERRA;51;28540000;JARDIM DE ALAH;CORDEIRO;-22,0150081;-42,3667954
485;RUA COROADOS;263;94940070;VILA MONTE CARLO;CACHOEIRINHA;-29,9365722;-51,0860124
487;RUA ATILIO BONOTTO;345;95300000;VILA NUNES;LAGOA VERMELHA;-28,2092212;-51,5256087
489;AVENIDA EGIDIO FRANC RODRIGUES;170;75200000;N SRA DE LOURDES;PIRES DO RIO;-17,2925624;-48,2808382
492;RUA PROFESSOR ANTONIO AMARO;11;36500000;;UBA;-21,1228179;-42,9444623
494;RUA FERNANDO FALCAO;780;03180000;VILA CLAUDIA;SAO PAULO;-23,5606155;-46,5870487
496;RUA TUPINIQUINS;319;85935000;JARDIM PROGRESSO;ASSIS CHATEAUBRIAND;-24,3887117;-53,5126743
498;AVENIDA CRISTIANO REIS M FILHO;817;27321740;VISTA ALEGRE;BARRA MANSA;-22,5102889;-44,1958736
500;AVENIDA MACAPA;350;35164253;VENEZA;IPATINGA;-19,4690991;-42,5314675
504;RUA ALBINO REINE;44;51190240;IPSEP;RECIFE;-8,1159004;-34,9203207
507;RUA EMILIO JURK;1865;89037100;AGUA VERDE;BLUMENAU;-26,9120304;-49,0922604
509;SAO BERNARDO;;95255000;;CAMPESTRE DA SERRA;-28,7857888;-51,0984856
512;RUA IRMAOS D ANGELO;99;25685330;CENTRO;PETROPOLIS;-22,5089633;-43,1768613
514;RUA SETE DE SETEMBRO;35;35785000;CENTRO;SANTANA DE PIRAPAMA;-19,0060431;-44,0395448
516;RUA TEODORO SAMPAIO;1099;05405100;PINHEIROS;SAO PAULO;-23,5593126;-46,6804177
519;RUA SANTO ANTONIO;34;46430000;CENTRO;GUANAMBI;-14,2282295;-42,7814039
521;RUA ALBERTO RODRIGUES BIO;971;08664290;JARDIM CARLOS COOPER;SUZANO;-23,5612441;-46,3198097
523;PRACA GETULIO VARGAS;19;29156025;CARIACICA SEDE;CARIACICA;-20,2650432;-40,4187347
527;AVENIDA GOIANIA;4550;76940000;CENTRO;ROLIM DE MOURA;-11,7328856;-61,7758347
530;AVENIDA JERONIMO DE ALBUQUERQUE;3;65060100;VINHAIS;SAO LUIS;-2,538548;-44,2211361
532;AVENIDA 25 DE AGOSTO;4643;76940971;CENTRO;ROLIM DE MOURA;-11,7259996;-61,778412
534;JARDIM SANTA HELENA;389;40290020;ACUPE DE BROTAS;SALVADOR;-12,993643;-38,488017
537;RUA DA MOOCA;4;01000000;MOOCA;SAO PAULO;-23,5533467;-46,6252526
539;RUA CLAUDINO A BICUDO;508A;07600000;VILA MACHADO;MAIRIPORA;-23,3183726;-46,5872221
541;RUA DOUTOR CORDEIRO;2;28200000;CENTRO;SAO JOAO DA BARRA;-21,6334664;-41,0489526
544;RUA ANTONIO CARLOS;70;35430375;CENTRO;PONTE NOVA;-20,4164011;-42,9076702
546;RUA LIBERATO BARROSO;307;60030160;CENTRO;FORTALEZA;-3,7273203;-38,5306034
549;RUA BARAO DO TRIUNFO;326;97573590;CENTRO;SANTANA DO LIVRAMENTO;-30,8848644;-55,5350015
551;AVENIDA DESEMBARGADOR T CALDAS;22;65930000;CENTRO;ACAILANDIA;-4,9531152;-47,5030981
553;RUA PADRE ANTONIO DIAS;SN;65610000;CENTRO;ALDEIAS ALTAS;-4,629018;-43,471601
555;AVENIDA PRESIDENTE MARQUES;980;78015285;CENTRO;CUIABA;-15,5879339;-56,0981356
559;RUA ALVARO MATA;471;31250350;ERMELINDA;BELO HORIZONTE;-19,8852017;-43,9582726
561;RUA DOUTOR JOAO PESSOA;258;86410000;;RIBEIRAO CLARO;-23,1988055;-49,7601744
563;RUA DOUTOR ARTUR GUIMARAES;182;02038070;SANTANA;SAO PAULO;-23,4909462;-46,6250559
565;RUA CORONEL CARLOS PIOLI;42;83540000;CENTRO;RIO BRANCO DO SUL;-25,1925415;-49,3146135
568;RUA PADRE A SAPORITTI;SN;85555000;CENTRO;PALMAS;-26,4803234;-51,9908764
570;RUA ARMANDO SALLES OLIVEIRA;396;13610831;CENTRO;LEME;-22,1854082;-47,3860335
572;AVENIDA RIO GRANDE DO SUL;2693;92330001;MATHIAS VELHO;CANOAS;-29,9017578;-51,2083548
574;RUA B;56;27273450;AGUA LIMPA;VOLTA REDONDA;-22,4880671;-44,0806669
577;LOCALIDADE;SN;98975000;LINHA PACA NORTE;CAMPINA DAS MISSOES;-27,9899661;-54,8323421
579;RUA LOCALIDADE DE PIAUS;SN;39770000;ZONA RURAL;COLUNA;-18,2326645;-42,8376834
581;RUA FERREIRA DE SOUSA;66;04544100;VILA NOVA CONCEICAO;SAO PAULO;-23,579486;-46,527855
583;AVENIDA SANTA IZABEL;212A;30670565;ELDORADO;BELO HORIZONTE;-19,9190677;-43,9385747
587;RUA 22 DE ABRIL;226;94480755;LOMBA DO PINHEIRO;VIAMAO;-30,088358;-51,0237895
589;RUA INACIO LUIZ PINTO;300;14025680;ALTO DA BOA VISTA;RIBEIRAO PRETO;-21,2066158;-47,8122843
591;RUA ENGENHEIRO LAFAIETE STOCKLER;272;21221390;VILA DA PENHA;RIO DE JANEIRO;-22,845822;-43,3076355
593;RUA C;59;74305380;SUDOESTE;GOIANIA;-16,6624398;-49,2374028
596;ALAMEDA J;156;67013225;ATALAIA;ANANINDEUA;-1,3856556;-48,4311816
599;AVENIDA RIO BRANCO;753;01206000;CAMPOS ELISEOS;SAO PAULO;-23,5370205;-46,6423194
602;RUA PAULO MOREIRA;3;43700000;CENTRO;SIMOES FILHO;-12,7882987;-38,400326
604;RUA DOUTOR ANT DE SOUZA LEAO;276;54515070;CENTRO;CABO DE SANTO AGOSTINHO;-8,287212;-35,037295
606;RUA JOSE AYRTON CURY;460;14806377;JARDIM ROBERTO SELMI DEI;ARARAQUARA;-21,7246545;-48,1514486
608;AVENIDA HERVAL;578;87013110;ZONA 1;MARINGA;-23,4204259;-51,9363137
610;RUA BUARQUE DE MACEDO;320;90230250;SAO GERALDO;PORTO ALEGRE;-30,0123057;-51,1997304
612;RUA OLIVEIRA MARQUES;90;65440000;CENTRO;SAO BENEDITO DO RIO PRETO;-3,3331697;-43,5279287
616;RUA TAMOIO;410;94945010;VILA CACHOEIRINHA;CACHOEIRINHA;-29,95144;-51,0931273
618;AVENIDA SHISHIMA HIFUMI;2;12244000;URBANOVA;SAO JOSE DOS CAMPOS;-23,2037663;-45,9463272
620;RUA COMENDADOR ANTUNES DOS SANTOS;619;05861260;CAPAO REDONDO;SAO PAULO;-23,6698174;-46,7674382
623;RUA DOUTOR PEDRO RANGEL;88;88304430;SAO JOAO;ITAJAI;-26,9014152;-48,6781342
625;RUA AFONSO PENA;28;65415000;CENTRO;COROATA;-4,1283394;-44,130317
629;RUA GOIAS;304;35502027;IPIRANGA;DIVINOPOLIS;-20,1464408;-44,8885631
632;RUA MAEST FURIO FRANCESCHIN;208;08210040;PARQUE SAO LUCAS;SAO PAULO;-23,5976563;-46,5437459
635;RUA PROJETADA II;1183;65400000;CONJUNTO LEA ARCHER;CODO;-4,4605557;-43,88945
637;RUA OTILIA;37;03649000;VILA ESPERANCA;SAO PAULO;-23,5233659;-46,5223398
