PK_DetEmpresas;cd_natureza_juridica;de_natureza_juridica;de_situacao;de_classif_natureza_juridica;fl_optante_simples;qt_filial;tipo_empresa;fl_optante_simei;de_saude_tributaria;de_nivel_atividade;nu_ordem
11886;2062;SOCIEDADE EMPRESARIA LIMITADA;AL;ATIVA;1;;PRIVADO;0;AZUL;MEDIA;2
11338;2062;SOCIEDADE EMPRESARIA LIMITADA;MA;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;2
11886;2062;SOCIEDADE EMPRESARIA LIMITADA;AL;ATIVA;1;;PRIVADO;0;AZUL;MEDIA;4
11873;2062;SOCIEDADE EMPRESARIA LIMITADA;CE;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;4
11903;2143;COOPERATIVA;RS;ATIVA;0;;PRIVADO;0;AMARELO;BAIXA;1
11374;2135;EMPRESARIO INDIVIDUAL;PR;ATIVA;1;1;PRIVADO;0;VERDE;ALTA;0
11868;2135;EMPRESARIO INDIVIDUAL;CE;ATIVA;1;;PRIVADO;1;LARANJA;ALTA;0
5813;2135;EMPRESARIO INDIVIDUAL;RS;ATIVA;1;;PRIVADO;1;VERDE;ALTA;4
11793;2135;EMPRESARIO INDIVIDUAL;DF;ATIVA;0;;PRIVADO;0;AZUL;ALTA;0
7609;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;RS;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;3
11873;2062;SOCIEDADE EMPRESARIA LIMITADA;CE;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;1
11873;2062;SOCIEDADE EMPRESARIA LIMITADA;CE;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;3
11873;2062;SOCIEDADE EMPRESARIA LIMITADA;CE;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;0
11980;2135;EMPRESARIO INDIVIDUAL;AP;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;1
10709;2046;SOCIEDADE ANONIMA ABERTA;SE;ATIVA;0;;PRIVADO;0;VERDE;ALTA;3
10709;2046;SOCIEDADE ANONIMA ABERTA;SE;ATIVA;0;;PRIVADO;0;VERDE;ALTA;0
10709;2046;SOCIEDADE ANONIMA ABERTA;SE;ATIVA;0;;PRIVADO;0;VERDE;ALTA;1
10757;2135;EMPRESARIO INDIVIDUAL;SP;ATIVA;0;1;PRIVADO;0;AZUL;MEDIA;0
10684;2135;EMPRESARIO INDIVIDUAL;SP;BAIXADA;0;;PRIVADO;0;LARANJA;INATIVA;2
9954;2062;SOCIEDADE EMPRESARIA LIMITADA;RS;ATIVA;0;;PRIVADO;0;AMARELO;BAIXA;0
10694;2135;EMPRESARIO INDIVIDUAL;PB;ATIVA;1;;PRIVADO;0;VERDE;ALTA;0
10709;2046;SOCIEDADE ANONIMA ABERTA;SE;ATIVA;0;;PRIVADO;0;VERDE;ALTA;2
10738;2135;EMPRESARIO INDIVIDUAL;PR;ATIVA;0;;PRIVADO;0;VERDE;ALTA;0
10613;2135;EMPRESARIO INDIVIDUAL;DF;ATIVA;1;1;PRIVADO;0;AZUL;ALTA;2
10733;2062;SOCIEDADE EMPRESARIA LIMITADA;PR;ATIVA;0;;PRIVADO;0;VERMELHO;BAIXA;0
11291;2062;SOCIEDADE EMPRESARIA LIMITADA;SE;ATIVA;1;;PRIVADO;0;VERDE;ALTA;3
10637;2135;EMPRESARIO INDIVIDUAL;AM;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;1
11291;2062;SOCIEDADE EMPRESARIA LIMITADA;SE;ATIVA;1;;PRIVADO;0;VERDE;ALTA;4
10861;2135;EMPRESARIO INDIVIDUAL;PR;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;0
10861;2135;EMPRESARIO INDIVIDUAL;PR;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;1
11323;2062;SOCIEDADE EMPRESARIA LIMITADA;SP;ATIVA;1;1;PRIVADO;0;LARANJA;ALTA;2
12203;2135;EMPRESARIO INDIVIDUAL;SC;ATIVA;1;;PRIVADO;0;LARANJA;BAIXA;0
10858;2135;EMPRESARIO INDIVIDUAL;MG;ATIVA;0;;PRIVADO;0;AZUL;ALTA;2
11367;2062;SOCIEDADE EMPRESARIA LIMITADA;MS;BAIXADA;0;;PRIVADO;0;VERDE;INATIVA;0
10858;2135;EMPRESARIO INDIVIDUAL;MG;ATIVA;0;;PRIVADO;0;AZUL;ALTA;4
12199;2135;EMPRESARIO INDIVIDUAL;SC;ATIVA;1;;PRIVADO;1;AMARELO;MEDIA;1
11196;2135;EMPRESARIO INDIVIDUAL;MG;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;1
11149;2135;EMPRESARIO INDIVIDUAL;PE;ATIVA;0;;PRIVADO;0;LARANJA;MEDIA;1
10858;2135;EMPRESARIO INDIVIDUAL;MG;ATIVA;0;;PRIVADO;0;AZUL;ALTA;3
10757;2135;EMPRESARIO INDIVIDUAL;SP;ATIVA;0;1;PRIVADO;0;AZUL;MEDIA;2
11132;2135;EMPRESARIO INDIVIDUAL;PE;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;1
12407;2135;EMPRESARIO INDIVIDUAL;BA;ATIVA;1;;PRIVADO;0;AMARELO;ALTA;1
12410;2135;EMPRESARIO INDIVIDUAL;MG;ATIVA;0;;PRIVADO;0;LARANJA;BAIXA;0
12410;2135;EMPRESARIO INDIVIDUAL;MG;ATIVA;0;;PRIVADO;0;LARANJA;BAIXA;1
12438;2135;EMPRESARIO INDIVIDUAL;GO;ATIVA;1;;PRIVADO;1;VERDE;MEDIA;0
13171;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;RS;ATIVA;0;;PRIVADO;0;LARANJA;BAIXA;3
12374;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;SP;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;3
12438;2135;EMPRESARIO INDIVIDUAL;GO;ATIVA;1;;PRIVADO;1;VERDE;MEDIA;1
12461;2135;EMPRESARIO INDIVIDUAL;RS;ATIVA;1;;PRIVADO;0;AMARELO;BAIXA;1
12690;2062;SOCIEDADE EMPRESARIA LIMITADA;RJ;ATIVA;1;;PRIVADO;0;AZUL;MEDIA;1
12407;2135;EMPRESARIO INDIVIDUAL;BA;ATIVA;1;;PRIVADO;0;AMARELO;ALTA;2
12690;2062;SOCIEDADE EMPRESARIA LIMITADA;RJ;ATIVA;1;;PRIVADO;0;AZUL;MEDIA;2
13080;2062;SOCIEDADE EMPRESARIA LIMITADA;SP;ATIVA;0;9;PRIVADO;0;VERDE;ALTA;1
12438;2135;EMPRESARIO INDIVIDUAL;GO;ATIVA;1;;PRIVADO;1;VERDE;MEDIA;3
9879;2135;EMPRESARIO INDIVIDUAL;PA;ATIVA;0;;PRIVADO;0;AMARELO;ALTA;1
12374;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;SP;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;4
12295;2135;EMPRESARIO INDIVIDUAL;SP;ATIVA;1;;PRIVADO;0;LARANJA;MUITO BAIXA;1
12374;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;SP;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;2
12374;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;SP;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;0
12765;2135;EMPRESARIO INDIVIDUAL;BA;ATIVA;0;1;PRIVADO;0;LARANJA;MEDIA;0
12374;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;SP;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;1
11469;2135;EMPRESARIO INDIVIDUAL;AP;ATIVA;1;;PRIVADO;0;VERDE;ALTA;4
11469;2135;EMPRESARIO INDIVIDUAL;AP;ATIVA;1;;PRIVADO;0;VERDE;ALTA;0
12969;2062;SOCIEDADE EMPRESARIA LIMITADA;RS;ATIVA;0;;PRIVADO;0;AMARELO;MEDIA;0
11469;2135;EMPRESARIO INDIVIDUAL;AP;ATIVA;1;;PRIVADO;0;VERDE;ALTA;1
11475;2135;EMPRESARIO INDIVIDUAL;MA;ATIVA;0;;PRIVADO;0;AMARELO;MEDIA;2
13080;2062;SOCIEDADE EMPRESARIA LIMITADA;SP;ATIVA;0;9;PRIVADO;0;VERDE;ALTA;0
11475;2135;EMPRESARIO INDIVIDUAL;MA;ATIVA;0;;PRIVADO;0;AMARELO;MEDIA;4
13189;2135;EMPRESARIO INDIVIDUAL;SP;BAIXADA;1;;PRIVADO;0;VERDE;INATIVA;1
13243;2062;SOCIEDADE EMPRESARIA LIMITADA;RJ;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;1
13243;2062;SOCIEDADE EMPRESARIA LIMITADA;RJ;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;0
13243;2062;SOCIEDADE EMPRESARIA LIMITADA;RJ;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;3
13243;2062;SOCIEDADE EMPRESARIA LIMITADA;RJ;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;2
13257;2062;SOCIEDADE EMPRESARIA LIMITADA;BA;ATIVA;0;1;PRIVADO;0;AZUL;ALTA;3
13257;2062;SOCIEDADE EMPRESARIA LIMITADA;BA;ATIVA;0;1;PRIVADO;0;AZUL;ALTA;1
13224;2062;SOCIEDADE EMPRESARIA LIMITADA;RO;ATIVA;0;;PRIVADO;0;VERDE;ALTA;0
13224;2062;SOCIEDADE EMPRESARIA LIMITADA;RO;ATIVA;0;;PRIVADO;0;VERDE;ALTA;1
13201;2135;EMPRESARIO INDIVIDUAL;RS;BAIXADA;0;;PRIVADO;0;VERDE;INATIVA;2
13216;2135;EMPRESARIO INDIVIDUAL;PA;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;2
13216;2135;EMPRESARIO INDIVIDUAL;PA;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;0
12467;2062;SOCIEDADE EMPRESARIA LIMITADA;AM;ATIVA;1;;PRIVADO;0;AZUL;ALTA;0
13216;2135;EMPRESARIO INDIVIDUAL;PA;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;3
12467;2062;SOCIEDADE EMPRESARIA LIMITADA;AM;ATIVA;1;;PRIVADO;0;AZUL;ALTA;3
13055;2135;EMPRESARIO INDIVIDUAL;PA;ATIVA;0;;PRIVADO;0;VERDE;ALTA;2
12497;2135;EMPRESARIO INDIVIDUAL;AM;ATIVA;0;;PRIVADO;0;AZUL;ALTA;3
12878;2135;EMPRESARIO INDIVIDUAL;RN;BAIXADA;1;;PRIVADO;0;AZUL;INATIVA;0
12841;2062;SOCIEDADE EMPRESARIA LIMITADA;MG;BAIXADA;1;;PRIVADO;0;VERDE;INATIVA;1
12497;2135;EMPRESARIO INDIVIDUAL;AM;ATIVA;0;;PRIVADO;0;AZUL;ALTA;0
12461;2135;EMPRESARIO INDIVIDUAL;RS;ATIVA;1;;PRIVADO;0;AMARELO;BAIXA;0
5842;2135;EMPRESARIO INDIVIDUAL;MA;ATIVA;1;;PRIVADO;1;AMARELO;BAIXA;0
12461;2135;EMPRESARIO INDIVIDUAL;RS;ATIVA;1;;PRIVADO;0;AMARELO;BAIXA;3
12467;2062;SOCIEDADE EMPRESARIA LIMITADA;AM;ATIVA;1;;PRIVADO;0;AZUL;ALTA;1
